

id, date, temperature, taux d'humidite
3,24/05/2017 12:32:35,30.00,56,00%
4,24/05/2017 12:37:35,31.00,52,00%
5,24/05/2017 12:42:35,29.00,53,00%
6,24/05/2017 12:47:35,29.00,50,00%
7,24/05/2017 12:52:35,28.00,51,00%
8,24/05/2017 12:57:35,28.00,49,00%
9,24/05/2017 13:02:35,28.00,48,00%
10,24/05/2017 13:07:35,28.00,48,00%
11,24/05/2017 13:12:35,28.00,49,00%
12,24/05/2017 13:17:35,29.00,44,00%
13,24/05/2017 13:22:35,28.00,47,00%
14,24/05/2017 13:27:35,28.00,48,00%
15,24/05/2017 13:32:35,28.00,48,00%
16,24/05/2017 13:37:35,28.00,48,00%
id, date, temperature, taux d'humidite
1,24/05/2017 12:32:35,30,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29,50%
5,24/05/2017 12:52:35,28,51%
6,24/05/2017 12:57:35,28,49%
7,24/05/2017 13:02:35,28,48%
8,24/05/2017 13:07:35,28,48%
9,24/05/2017 13:12:35,28,49%
10,24/05/2017 13:17:35,29,44%
11,24/05/2017 13:22:35,28,47%
12,24/05/2017 13:27:35,28,48%
13,24/05/2017 13:32:35,28,48%
14,24/05/2017 13:37:35,28,48%
15,24/05/2017 13:42:35,28,49%
16,24/05/2017 13:47:35,28,48%
17,24/05/2017 13:52:35,29,48%
18,24/05/2017 13:57:35,28,48%
id, date, temperature, taux d'humidite
1,24/05/2017 12:32:35,30,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29,50%
5,24/05/2017 12:52:35,28,51%
6,24/05/2017 12:57:35,28,49%
7,24/05/2017 13:02:35,28,48%
8,24/05/2017 13:07:35,28,48%
9,24/05/2017 13:12:35,28,49%
10,24/05/2017 13:17:35,29,44%
11,24/05/2017 13:22:35,28,47%
12,24/05/2017 13:27:35,28,48%
13,24/05/2017 13:32:35,28,48%
14,24/05/2017 13:37:35,28,48%
15,24/05/2017 13:42:35,28,49%
16,24/05/2017 13:47:35,28,48%
17,24/05/2017 13:52:35,29,48%
18,24/05/2017 13:57:35,28,48%
id, date, temperature, taux d'humidite
1,24/05/2017 12:32:35,30,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29,50%
5,24/05/2017 12:52:35,28,51%
6,24/05/2017 12:57:35,28,49%
7,24/05/2017 13:02:35,28,48%
8,24/05/2017 13:07:35,28,48%
9,24/05/2017 13:12:35,28,49%
10,24/05/2017 13:17:35,29,44%
11,24/05/2017 13:22:35,28,47%
12,24/05/2017 13:27:35,28,48%
13,24/05/2017 13:32:35,28,48%
14,24/05/2017 13:37:35,28,48%
15,24/05/2017 13:42:35,28,49%
16,24/05/2017 13:47:35,28,48%
17,24/05/2017 13:52:35,29,48%
18,24/05/2017 13:57:35,28,48%
id, date, temperature, taux d'humidite
1,24/05/2017 12:32:35,30,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29,50%
5,24/05/2017 12:52:35,28,51%
6,24/05/2017 12:57:35,28,49%
7,24/05/2017 13:02:35,28,48%
8,24/05/2017 13:07:35,28,48%
9,24/05/2017 13:12:35,28,49%
10,24/05/2017 13:17:35,29,44%
11,24/05/2017 13:22:35,28,47%
12,24/05/2017 13:27:35,28,48%
13,24/05/2017 13:32:35,28,48%
14,24/05/2017 13:37:35,28,48%
15,24/05/2017 13:42:35,28,49%
16,24/05/2017 13:47:35,28,48%
17,24/05/2017 13:52:35,29,48%
18,24/05/2017 13:57:35,28,48%
id, date, temperature, taux d'humidite
1,24/05/2017 12:32:35,30,56%
2,24/05/2017 12:37:35,31,52%
3,24/05/2017 12:42:35,29,53%
4,24/05/2017 12:47:35,29,50%
5,24/05/2017 12:52:35,28,51%
6,24/05/2017 12:57:35,28,49%
7,24/05/2017 13:02:35,28,48%
8,24/05/2017 13:07:35,28,48%
9,24/05/2017 13:12:35,28,49%
10,24/05/2017 13:17:35,29,44%
11,24/05/2017 13:22:35,28,47%
12,24/05/2017 13:27:35,28,48%
13,24/05/2017 13:32:35,28,48%
14,24/05/2017 13:37:35,28,48%
15,24/05/2017 13:42:35,28,49%
16,24/05/2017 13:47:35,28,48%
17,24/05/2017 13:52:35,29,48%
18,24/05/2017 13:57:35,28,48%
